Filename,Result,Elapsed_time_ms,Config
uf100-0100.cnf,SAT,54.0986,minisat-classic
uf100-010.cnf,SAT,2.1675,minisat-classic
uf100-011.cnf,SAT,55.0828,minisat-classic
uf100-012.cnf,SAT,13.9768,minisat-classic
uf100-013.cnf,SAT,245.1817,minisat-classic
uf100-014.cnf,SAT,15.0032,minisat-classic
uf100-015.cnf,SAT,217.4505,minisat-classic
uf100-016.cnf,SAT,75.1883,minisat-classic
uf100-017.cnf,SAT,27.7465,minisat-classic
uf100-018.cnf,SAT,1.1294,minisat-classic
uf100-019.cnf,SAT,4.7626,minisat-classic
uf100-01.cnf,SAT,32.4720,minisat-classic
uf100-020.cnf,SAT,45.0424,minisat-classic
uf100-021.cnf,SAT,218.6514,minisat-classic
uf100-022.cnf,SAT,122.0059,minisat-classic
uf100-023.cnf,SAT,71.9944,minisat-classic
uf100-024.cnf,SAT,10.2179,minisat-classic
uf100-025.cnf,SAT,841.7125,minisat-classic
uf100-026.cnf,SAT,104.1529,minisat-classic
uf100-027.cnf,SAT,89.2180,minisat-classic
uf100-028.cnf,SAT,23.8461,minisat-classic
uf100-029.cnf,SAT,104.4944,minisat-classic
uf100-02.cnf,SAT,502.2599,minisat-classic
uf100-030.cnf,SAT,53.0938,minisat-classic
uf100-031.cnf,SAT,265.7874,minisat-classic
uf100-032.cnf,SAT,152.9154,minisat-classic
uf100-033.cnf,SAT,94.5011,minisat-classic
uf100-034.cnf,SAT,2.1691,minisat-classic
uf100-035.cnf,SAT,25.3385,minisat-classic
uf100-036.cnf,SAT,94.1995,minisat-classic
uf100-037.cnf,SAT,400.3329,minisat-classic
uf100-038.cnf,SAT,222.3741,minisat-classic
uf100-039.cnf,SAT,6.0833,minisat-classic
uf100-03.cnf,SAT,16.1051,minisat-classic
uf100-040.cnf,SAT,80.9627,minisat-classic
uf100-041.cnf,SAT,8.9413,minisat-classic
uf100-042.cnf,SAT,104.4464,minisat-classic
uf100-043.cnf,SAT,386.8036,minisat-classic
uf100-044.cnf,SAT,148.1608,minisat-classic
uf100-045.cnf,SAT,81.0648,minisat-classic
uf100-046.cnf,SAT,60.6370,minisat-classic
uf100-047.cnf,SAT,175.4787,minisat-classic
uf100-048.cnf,SAT,55.5224,minisat-classic
uf100-049.cnf,SAT,30.2121,minisat-classic
uf100-04.cnf,SAT,147.3780,minisat-classic
uf100-050.cnf,SAT,37.2380,minisat-classic
uf100-051.cnf,SAT,358.1807,minisat-classic
uf100-052.cnf,SAT,372.3345,minisat-classic
uf100-053.cnf,SAT,148.2930,minisat-classic
uf100-054.cnf,SAT,359.9835,minisat-classic
uf100-055.cnf,SAT,28.5109,minisat-classic
uf100-056.cnf,SAT,7.5244,minisat-classic
uf100-057.cnf,SAT,159.7956,minisat-classic
uf100-058.cnf,SAT,183.5496,minisat-classic
uf100-059.cnf,SAT,239.5563,minisat-classic
uf100-05.cnf,SAT,529.2382,minisat-classic
uf100-060.cnf,SAT,158.3629,minisat-classic
uf100-061.cnf,SAT,109.7978,minisat-classic
uf100-062.cnf,SAT,114.8447,minisat-classic
uf100-063.cnf,SAT,21.0720,minisat-classic
uf100-064.cnf,SAT,1.9009,minisat-classic
uf100-065.cnf,SAT,235.1231,minisat-classic
uf100-066.cnf,SAT,24.1771,minisat-classic
uf100-067.cnf,SAT,91.3407,minisat-classic
uf100-068.cnf,SAT,427.1114,minisat-classic
uf100-069.cnf,SAT,1.9943,minisat-classic
uf100-06.cnf,SAT,1.1814,minisat-classic
uf100-070.cnf,SAT,1.0327,minisat-classic
uf100-071.cnf,SAT,2.1636,minisat-classic
uf100-072.cnf,SAT,3.4144,minisat-classic
uf100-073.cnf,SAT,1.2174,minisat-classic
uf100-074.cnf,SAT,34.5317,minisat-classic
uf100-075.cnf,SAT,52.4352,minisat-classic
uf100-076.cnf,SAT,19.0655,minisat-classic
uf100-077.cnf,SAT,3.4595,minisat-classic
uf100-078.cnf,SAT,301.0295,minisat-classic
uf100-079.cnf,SAT,20.6472,minisat-classic
uf100-07.cnf,SAT,243.8843,minisat-classic
uf100-080.cnf,SAT,24.6021,minisat-classic
uf100-081.cnf,SAT,530.3772,minisat-classic
uf100-082.cnf,SAT,189.4137,minisat-classic
uf100-083.cnf,SAT,609.0728,minisat-classic
uf100-084.cnf,SAT,114.3190,minisat-classic
uf100-085.cnf,SAT,82.3339,minisat-classic
uf100-086.cnf,SAT,26.8100,minisat-classic
uf100-087.cnf,SAT,717.6133,minisat-classic
uf100-088.cnf,SAT,1.8870,minisat-classic
uf100-089.cnf,SAT,1.0891,minisat-classic
uf100-08.cnf,SAT,193.4255,minisat-classic
uf100-090.cnf,SAT,29.5232,minisat-classic
uf100-091.cnf,SAT,278.4055,minisat-classic
uf100-092.cnf,SAT,129.5430,minisat-classic
uf100-093.cnf,SAT,123.4813,minisat-classic
uf100-094.cnf,SAT,318.6975,minisat-classic
uf100-095.cnf,SAT,67.9568,minisat-classic
uf100-096.cnf,SAT,4.8236,minisat-classic
uf100-097.cnf,SAT,410.3301,minisat-classic
uf100-098.cnf,SAT,25.5633,minisat-classic
uf100-099.cnf,SAT,96.3579,minisat-classic
uf100-09.cnf,SAT,14.2981,minisat-classic
