Filename,Result,Elapsed_time_ms,Config
uf100-0100.cnf,SAT,48.1550,init-heavy
uf100-010.cnf,SAT,2.9002,init-heavy
uf100-011.cnf,SAT,69.6961,init-heavy
uf100-012.cnf,SAT,10.1977,init-heavy
uf100-013.cnf,SAT,384.6709,init-heavy
uf100-014.cnf,SAT,10.4812,init-heavy
uf100-015.cnf,SAT,190.0241,init-heavy
uf100-016.cnf,SAT,65.2592,init-heavy
uf100-017.cnf,SAT,42.8707,init-heavy
uf100-018.cnf,SAT,1.1179,init-heavy
uf100-019.cnf,SAT,5.7990,init-heavy
uf100-01.cnf,SAT,52.3380,init-heavy
uf100-020.cnf,SAT,70.7954,init-heavy
uf100-021.cnf,SAT,216.8483,init-heavy
uf100-022.cnf,SAT,248.1889,init-heavy
uf100-023.cnf,SAT,74.4559,init-heavy
uf100-024.cnf,SAT,9.9593,init-heavy
uf100-025.cnf,SAT,834.3370,init-heavy
uf100-026.cnf,SAT,69.9669,init-heavy
uf100-027.cnf,SAT,93.8263,init-heavy
uf100-028.cnf,SAT,20.3119,init-heavy
uf100-029.cnf,SAT,102.6345,init-heavy
uf100-02.cnf,SAT,339.9677,init-heavy
uf100-030.cnf,SAT,54.8981,init-heavy
uf100-031.cnf,SAT,224.5398,init-heavy
uf100-032.cnf,SAT,196.4797,init-heavy
uf100-033.cnf,SAT,94.5027,init-heavy
uf100-034.cnf,SAT,3.1556,init-heavy
uf100-035.cnf,SAT,34.1170,init-heavy
uf100-036.cnf,SAT,111.4412,init-heavy
uf100-037.cnf,SAT,379.6112,init-heavy
uf100-038.cnf,SAT,207.9645,init-heavy
uf100-039.cnf,SAT,7.0708,init-heavy
uf100-03.cnf,SAT,15.4857,init-heavy
uf100-040.cnf,SAT,84.1602,init-heavy
uf100-041.cnf,SAT,11.5604,init-heavy
uf100-042.cnf,SAT,160.6400,init-heavy
uf100-043.cnf,SAT,472.6100,init-heavy
uf100-044.cnf,SAT,130.3350,init-heavy
uf100-045.cnf,SAT,110.7570,init-heavy
uf100-046.cnf,SAT,87.2521,init-heavy
uf100-047.cnf,SAT,252.2986,init-heavy
uf100-048.cnf,SAT,67.7565,init-heavy
uf100-049.cnf,SAT,31.4087,init-heavy
uf100-04.cnf,SAT,96.0738,init-heavy
uf100-050.cnf,SAT,43.4318,init-heavy
uf100-051.cnf,SAT,272.4425,init-heavy
uf100-052.cnf,SAT,619.1368,init-heavy
uf100-053.cnf,SAT,194.8231,init-heavy
uf100-054.cnf,SAT,330.5742,init-heavy
uf100-055.cnf,SAT,46.9374,init-heavy
uf100-056.cnf,SAT,8.5249,init-heavy
uf100-057.cnf,SAT,355.1090,init-heavy
uf100-058.cnf,SAT,173.3885,init-heavy
uf100-059.cnf,SAT,457.9514,init-heavy
uf100-05.cnf,SAT,571.6120,init-heavy
uf100-060.cnf,SAT,151.9783,init-heavy
uf100-061.cnf,SAT,43.7603,init-heavy
uf100-062.cnf,SAT,132.6952,init-heavy
uf100-063.cnf,SAT,26.9524,init-heavy
uf100-064.cnf,SAT,2.0850,init-heavy
uf100-065.cnf,SAT,335.9981,init-heavy
uf100-066.cnf,SAT,30.9106,init-heavy
uf100-067.cnf,SAT,99.0723,init-heavy
uf100-068.cnf,SAT,487.9580,init-heavy
uf100-069.cnf,SAT,2.7752,init-heavy
uf100-06.cnf,SAT,1.8456,init-heavy
uf100-070.cnf,SAT,1.0177,init-heavy
uf100-071.cnf,SAT,2.1198,init-heavy
uf100-072.cnf,SAT,3.7201,init-heavy
uf100-073.cnf,SAT,1.1082,init-heavy
uf100-074.cnf,SAT,40.1085,init-heavy
uf100-075.cnf,SAT,36.5687,init-heavy
uf100-076.cnf,SAT,36.0917,init-heavy
uf100-077.cnf,SAT,3.7040,init-heavy
uf100-078.cnf,SAT,346.6612,init-heavy
uf100-079.cnf,SAT,24.8748,init-heavy
uf100-07.cnf,SAT,177.3170,init-heavy
uf100-080.cnf,SAT,18.1774,init-heavy
uf100-081.cnf,SAT,597.8259,init-heavy
uf100-082.cnf,SAT,140.4095,init-heavy
uf100-083.cnf,SAT,787.1800,init-heavy
uf100-084.cnf,SAT,92.0506,init-heavy
uf100-085.cnf,SAT,102.3429,init-heavy
uf100-086.cnf,SAT,44.7967,init-heavy
uf100-087.cnf,SAT,957.1324,init-heavy
uf100-088.cnf,SAT,1.9652,init-heavy
uf100-089.cnf,SAT,1.0746,init-heavy
uf100-08.cnf,SAT,281.5320,init-heavy
uf100-090.cnf,SAT,29.3417,init-heavy
uf100-091.cnf,SAT,260.5083,init-heavy
uf100-092.cnf,SAT,100.9747,init-heavy
uf100-093.cnf,SAT,161.2131,init-heavy
uf100-094.cnf,SAT,279.5342,init-heavy
uf100-095.cnf,SAT,76.1358,init-heavy
uf100-096.cnf,SAT,4.7930,init-heavy
uf100-097.cnf,SAT,470.0709,init-heavy
uf100-098.cnf,SAT,33.5236,init-heavy
uf100-099.cnf,SAT,74.7325,init-heavy
uf100-09.cnf,SAT,18.8798,init-heavy
