Filename,Result,Elapsed_time_ms,Config
uf100-0100.cnf,SAT,142.3756,stable-longterm
uf100-010.cnf,SAT,5.5127,init-heavy
uf100-011.cnf,SAT,126.3355,rapid-decay
uf100-012.cnf,SAT,27.5716,stable-longterm
uf100-013.cnf,SAT,680.9821,minisat-classic
uf100-014.cnf,SAT,25.1981,stable-longterm
uf100-015.cnf,SAT,501.6810,init-heavy
uf100-016.cnf,SAT,180.4474,init-heavy
uf100-017.cnf,SAT,80.1322,rapid-decay
uf100-018.cnf,SAT,3.1395,stable-longterm
uf100-019.cnf,SAT,11.9233,minisat-classic
uf100-01.cnf,SAT,83.9302,minisat-classic
uf100-020.cnf,SAT,132.4461,minisat-classic
uf100-021.cnf,SAT,563.8317,minisat-classic
uf100-022.cnf,SAT,356.7239,minisat-classic
uf100-023.cnf,SAT,179.7311,stable-longterm
uf100-024.cnf,SAT,25.8068,init-heavy
uf100-025.cnf,SAT,2117.6075,stable-longterm
uf100-026.cnf,SAT,173.4363,stable-longterm
uf100-027.cnf,SAT,198.8021,stable-longterm
uf100-028.cnf,SAT,59.3034,init-heavy
uf100-029.cnf,SAT,261.8113,rapid-decay
uf100-02.cnf,SAT,926.9058,init-heavy
uf100-030.cnf,SAT,115.5433,rapid-decay
uf100-031.cnf,SAT,638.6551,init-heavy
uf100-032.cnf,SAT,347.1034,stable-longterm
uf100-033.cnf,SAT,245.4626,minisat-classic
uf100-034.cnf,SAT,5.4262,init-heavy
uf100-035.cnf,SAT,69.2205,minisat-classic
uf100-036.cnf,SAT,168.7582,rapid-decay
uf100-037.cnf,SAT,722.9972,stable-longterm
uf100-038.cnf,SAT,537.4906,rapid-decay
uf100-039.cnf,SAT,15.8318,rapid-decay
uf100-03.cnf,SAT,40.5372,stable-longterm
uf100-040.cnf,SAT,197.2934,stable-longterm
uf100-041.cnf,SAT,24.4545,rapid-decay
uf100-042.cnf,SAT,221.0976,stable-longterm
uf100-043.cnf,SAT,1050.9251,rapid-decay
uf100-044.cnf,SAT,372.4826,stable-longterm
uf100-045.cnf,SAT,255.1660,minisat-classic
uf100-046.cnf,SAT,123.8029,rapid-decay
uf100-047.cnf,SAT,427.1967,minisat-classic
uf100-048.cnf,SAT,147.4564,minisat-classic
uf100-049.cnf,SAT,67.1894,rapid-decay
uf100-04.cnf,SAT,269.4242,init-heavy
uf100-050.cnf,SAT,116.7448,rapid-decay
uf100-051.cnf,SAT,748.8063,rapid-decay
uf100-052.cnf,SAT,888.3042,rapid-decay
uf100-053.cnf,SAT,385.2021,minisat-classic
uf100-054.cnf,SAT,562.4467,rapid-decay
uf100-055.cnf,SAT,76.5856,stable-longterm
uf100-056.cnf,SAT,20.9867,rapid-decay
uf100-057.cnf,SAT,445.4983,minisat-classic
uf100-058.cnf,SAT,500.6009,rapid-decay
uf100-059.cnf,SAT,601.8181,rapid-decay
uf100-05.cnf,SAT,1337.3230,stable-longterm
uf100-060.cnf,SAT,403.7435,rapid-decay
uf100-061.cnf,SAT,118.2438,init-heavy
uf100-062.cnf,SAT,282.4806,rapid-decay
uf100-063.cnf,SAT,61.9965,minisat-classic
uf100-064.cnf,SAT,3.8136,minisat-classic
uf100-065.cnf,SAT,669.2721,minisat-classic
uf100-066.cnf,SAT,68.3967,minisat-classic
uf100-067.cnf,SAT,254.2044,stable-longterm
uf100-068.cnf,SAT,967.8245,rapid-decay
uf100-069.cnf,SAT,4.7940,stable-longterm
uf100-06.cnf,SAT,3.4996,minisat-classic
uf100-070.cnf,SAT,3.2174,rapid-decay
uf100-071.cnf,SAT,5.0281,minisat-classic
uf100-072.cnf,SAT,9.8098,rapid-decay
uf100-073.cnf,SAT,2.7435,init-heavy
uf100-074.cnf,SAT,92.4215,minisat-classic
uf100-075.cnf,SAT,101.3071,init-heavy
uf100-076.cnf,SAT,49.3356,minisat-classic
uf100-077.cnf,SAT,8.8642,stable-longterm
uf100-078.cnf,SAT,495.4698,rapid-decay
uf100-079.cnf,SAT,61.4477,rapid-decay
uf100-07.cnf,SAT,422.9770,stable-longterm
uf100-080.cnf,SAT,46.2655,init-heavy
uf100-081.cnf,SAT,1455.2819,minisat-classic
uf100-082.cnf,SAT,402.5055,init-heavy
uf100-083.cnf,SAT,1491.9990,rapid-decay
uf100-084.cnf,SAT,243.8279,rapid-decay
uf100-085.cnf,SAT,236.9270,minisat-classic
uf100-086.cnf,SAT,74.2170,rapid-decay
uf100-087.cnf,SAT,1486.9829,stable-longterm
uf100-088.cnf,SAT,4.1115,minisat-classic
uf100-089.cnf,SAT,2.1229,minisat-classic
uf100-08.cnf,SAT,504.4165,rapid-decay
uf100-090.cnf,SAT,67.1912,rapid-decay
uf100-091.cnf,SAT,616.6347,init-heavy
uf100-092.cnf,SAT,274.0763,init-heavy
uf100-093.cnf,SAT,322.7333,minisat-classic
uf100-094.cnf,SAT,734.6789,init-heavy
uf100-095.cnf,SAT,170.2610,stable-longterm
uf100-096.cnf,SAT,13.3753,rapid-decay
uf100-097.cnf,SAT,1151.1974,minisat-classic
uf100-098.cnf,SAT,70.7512,rapid-decay
uf100-099.cnf,SAT,207.7265,init-heavy
uf100-09.cnf,SAT,40.5901,minisat-classic
