Filename,Result,Elapsed_time_ms,Config
uf100-0100.cnf,SAT,54.4826,rapid-decay
uf100-010.cnf,SAT,2.8459,rapid-decay
uf100-011.cnf,SAT,45.9243,rapid-decay
uf100-012.cnf,SAT,18.3180,rapid-decay
uf100-013.cnf,SAT,265.5996,rapid-decay
uf100-014.cnf,SAT,17.1610,rapid-decay
uf100-015.cnf,SAT,228.6982,rapid-decay
uf100-016.cnf,SAT,107.3662,rapid-decay
uf100-017.cnf,SAT,26.9392,rapid-decay
uf100-018.cnf,SAT,1.1124,rapid-decay
uf100-019.cnf,SAT,4.8145,rapid-decay
uf100-01.cnf,SAT,35.8909,rapid-decay
uf100-020.cnf,SAT,46.5760,rapid-decay
uf100-021.cnf,SAT,300.3630,rapid-decay
uf100-022.cnf,SAT,150.1746,rapid-decay
uf100-023.cnf,SAT,86.4317,rapid-decay
uf100-024.cnf,SAT,10.2083,rapid-decay
uf100-025.cnf,SAT,791.8797,rapid-decay
uf100-026.cnf,SAT,67.6423,rapid-decay
uf100-027.cnf,SAT,92.7188,rapid-decay
uf100-028.cnf,SAT,23.7869,rapid-decay
uf100-029.cnf,SAT,95.2740,rapid-decay
uf100-02.cnf,SAT,386.0977,rapid-decay
uf100-030.cnf,SAT,43.5385,rapid-decay
uf100-031.cnf,SAT,244.7036,rapid-decay
uf100-032.cnf,SAT,134.4473,rapid-decay
uf100-033.cnf,SAT,112.9695,rapid-decay
uf100-034.cnf,SAT,2.2885,rapid-decay
uf100-035.cnf,SAT,24.6074,rapid-decay
uf100-036.cnf,SAT,61.5784,rapid-decay
uf100-037.cnf,SAT,392.1755,rapid-decay
uf100-038.cnf,SAT,189.3422,rapid-decay
uf100-039.cnf,SAT,6.0479,rapid-decay
uf100-03.cnf,SAT,16.3572,rapid-decay
uf100-040.cnf,SAT,95.7744,rapid-decay
uf100-041.cnf,SAT,9.0739,rapid-decay
uf100-042.cnf,SAT,118.5234,rapid-decay
uf100-043.cnf,SAT,380.2371,rapid-decay
uf100-044.cnf,SAT,144.3028,rapid-decay
uf100-045.cnf,SAT,213.3142,rapid-decay
uf100-046.cnf,SAT,45.9172,rapid-decay
uf100-047.cnf,SAT,226.9307,rapid-decay
uf100-048.cnf,SAT,78.5928,rapid-decay
uf100-049.cnf,SAT,26.2661,rapid-decay
uf100-04.cnf,SAT,150.5013,rapid-decay
uf100-050.cnf,SAT,37.5257,rapid-decay
uf100-051.cnf,SAT,260.2198,rapid-decay
uf100-052.cnf,SAT,329.7021,rapid-decay
uf100-053.cnf,SAT,237.4695,rapid-decay
uf100-054.cnf,SAT,214.1752,rapid-decay
uf100-055.cnf,SAT,29.9641,rapid-decay
uf100-056.cnf,SAT,7.7873,rapid-decay
uf100-057.cnf,SAT,178.7213,rapid-decay
uf100-058.cnf,SAT,170.5075,rapid-decay
uf100-059.cnf,SAT,229.3496,rapid-decay
uf100-05.cnf,SAT,551.5188,rapid-decay
uf100-060.cnf,SAT,150.6838,rapid-decay
uf100-061.cnf,SAT,90.3191,rapid-decay
uf100-062.cnf,SAT,101.6680,rapid-decay
uf100-063.cnf,SAT,24.2098,rapid-decay
uf100-064.cnf,SAT,2.0931,rapid-decay
uf100-065.cnf,SAT,258.6831,rapid-decay
uf100-066.cnf,SAT,26.3086,rapid-decay
uf100-067.cnf,SAT,95.4327,rapid-decay
uf100-068.cnf,SAT,356.5620,rapid-decay
uf100-069.cnf,SAT,1.8486,rapid-decay
uf100-06.cnf,SAT,1.1909,rapid-decay
uf100-070.cnf,SAT,1.0387,rapid-decay
uf100-071.cnf,SAT,2.1026,rapid-decay
uf100-072.cnf,SAT,3.4237,rapid-decay
uf100-073.cnf,SAT,1.0912,rapid-decay
uf100-074.cnf,SAT,36.8904,rapid-decay
uf100-075.cnf,SAT,36.2201,rapid-decay
uf100-076.cnf,SAT,19.1768,rapid-decay
uf100-077.cnf,SAT,3.3911,rapid-decay
uf100-078.cnf,SAT,181.8258,rapid-decay
uf100-079.cnf,SAT,20.7968,rapid-decay
uf100-07.cnf,SAT,199.3398,rapid-decay
uf100-080.cnf,SAT,23.0291,rapid-decay
uf100-081.cnf,SAT,562.8144,rapid-decay
uf100-082.cnf,SAT,226.2775,rapid-decay
uf100-083.cnf,SAT,575.9106,rapid-decay
uf100-084.cnf,SAT,92.6618,rapid-decay
uf100-085.cnf,SAT,91.9485,rapid-decay
uf100-086.cnf,SAT,27.3285,rapid-decay
uf100-087.cnf,SAT,634.2569,rapid-decay
uf100-088.cnf,SAT,1.9331,rapid-decay
uf100-089.cnf,SAT,1.0702,rapid-decay
uf100-08.cnf,SAT,186.9243,rapid-decay
uf100-090.cnf,SAT,22.7783,rapid-decay
uf100-091.cnf,SAT,244.7353,rapid-decay
uf100-092.cnf,SAT,120.5965,rapid-decay
uf100-093.cnf,SAT,165.3028,rapid-decay
uf100-094.cnf,SAT,343.8533,rapid-decay
uf100-095.cnf,SAT,109.2241,rapid-decay
uf100-096.cnf,SAT,4.8770,rapid-decay
uf100-097.cnf,SAT,782.0791,rapid-decay
uf100-098.cnf,SAT,25.2013,rapid-decay
uf100-099.cnf,SAT,83.0193,rapid-decay
uf100-09.cnf,SAT,14.2794,rapid-decay
