Filename,Result,Elapsed_time_ms,Config
uuf100-0100.cnf,UNSAT,1431.1916,minisat-classic
uuf100-010.cnf,UNSAT,438.5060,minisat-classic
uuf100-011.cnf,UNSAT,1054.5439,minisat-classic
uuf100-012.cnf,UNSAT,443.6631,minisat-classic
uuf100-013.cnf,UNSAT,510.9009,minisat-classic
uuf100-014.cnf,UNSAT,397.4826,minisat-classic
uuf100-015.cnf,UNSAT,1074.2156,minisat-classic
uuf100-016.cnf,UNSAT,1543.2946,minisat-classic
uuf100-017.cnf,UNSAT,747.0636,minisat-classic
uuf100-018.cnf,UNSAT,813.2008,minisat-classic
uuf100-019.cnf,UNSAT,418.1829,minisat-classic
uuf100-01.cnf,UNSAT,405.6420,minisat-classic
uuf100-020.cnf,UNSAT,986.5567,minisat-classic
uuf100-021.cnf,UNSAT,721.8573,minisat-classic
uuf100-022.cnf,UNSAT,912.8929,minisat-classic
uuf100-023.cnf,UNSAT,750.7752,minisat-classic
uuf100-024.cnf,UNSAT,3442.5768,minisat-classic
uuf100-025.cnf,UNSAT,682.8687,minisat-classic
uuf100-026.cnf,UNSAT,529.5125,minisat-classic
uuf100-027.cnf,UNSAT,321.8267,minisat-classic
uuf100-028.cnf,UNSAT,537.8724,minisat-classic
uuf100-029.cnf,UNSAT,498.8111,minisat-classic
uuf100-02.cnf,UNSAT,776.5560,minisat-classic
uuf100-030.cnf,UNSAT,1167.8577,minisat-classic
uuf100-031.cnf,UNSAT,995.1720,minisat-classic
uuf100-032.cnf,UNSAT,460.6444,minisat-classic
uuf100-033.cnf,UNSAT,592.2113,minisat-classic
uuf100-034.cnf,UNSAT,845.2075,minisat-classic
uuf100-035.cnf,UNSAT,824.7298,minisat-classic
uuf100-036.cnf,UNSAT,354.0184,minisat-classic
uuf100-037.cnf,UNSAT,560.9723,minisat-classic
uuf100-038.cnf,UNSAT,723.7596,minisat-classic
uuf100-039.cnf,UNSAT,834.9147,minisat-classic
uuf100-03.cnf,UNSAT,437.6919,minisat-classic
uuf100-040.cnf,UNSAT,471.1419,minisat-classic
uuf100-041.cnf,UNSAT,377.1511,minisat-classic
uuf100-042.cnf,UNSAT,854.3156,minisat-classic
uuf100-043.cnf,UNSAT,569.3222,minisat-classic
uuf100-044.cnf,UNSAT,456.4717,minisat-classic
uuf100-045.cnf,UNSAT,590.7076,minisat-classic
uuf100-046.cnf,UNSAT,588.5168,minisat-classic
uuf100-047.cnf,UNSAT,842.0414,minisat-classic
uuf100-048.cnf,UNSAT,565.3314,minisat-classic
uuf100-049.cnf,UNSAT,648.6184,minisat-classic
uuf100-04.cnf,UNSAT,1082.8832,minisat-classic
uuf100-050.cnf,UNSAT,2611.7066,minisat-classic
uuf100-051.cnf,UNSAT,547.1633,minisat-classic
uuf100-052.cnf,UNSAT,1102.8819,minisat-classic
uuf100-053.cnf,UNSAT,982.9445,minisat-classic
uuf100-054.cnf,UNSAT,339.5114,minisat-classic
uuf100-055.cnf,UNSAT,846.4369,minisat-classic
uuf100-056.cnf,UNSAT,604.8843,minisat-classic
uuf100-057.cnf,UNSAT,843.2599,minisat-classic
uuf100-058.cnf,UNSAT,593.1325,minisat-classic
uuf100-059.cnf,UNSAT,1280.1798,minisat-classic
uuf100-05.cnf,UNSAT,866.3643,minisat-classic
uuf100-060.cnf,UNSAT,826.3214,minisat-classic
uuf100-061.cnf,UNSAT,754.9139,minisat-classic
uuf100-062.cnf,UNSAT,550.7055,minisat-classic
uuf100-063.cnf,UNSAT,815.6046,minisat-classic
uuf100-064.cnf,UNSAT,693.5369,minisat-classic
uuf100-065.cnf,UNSAT,880.1261,minisat-classic
uuf100-066.cnf,UNSAT,1083.9497,minisat-classic
uuf100-067.cnf,UNSAT,830.0252,minisat-classic
uuf100-068.cnf,UNSAT,846.5338,minisat-classic
uuf100-069.cnf,UNSAT,527.0601,minisat-classic
uuf100-06.cnf,UNSAT,427.4791,minisat-classic
uuf100-070.cnf,UNSAT,496.1761,minisat-classic
uuf100-071.cnf,UNSAT,888.9879,minisat-classic
uuf100-072.cnf,UNSAT,714.1628,minisat-classic
uuf100-073.cnf,UNSAT,924.9182,minisat-classic
uuf100-074.cnf,UNSAT,718.0847,minisat-classic
uuf100-075.cnf,UNSAT,476.5919,minisat-classic
uuf100-076.cnf,UNSAT,1164.9508,minisat-classic
uuf100-077.cnf,UNSAT,636.3544,minisat-classic
uuf100-078.cnf,UNSAT,669.6531,minisat-classic
uuf100-079.cnf,UNSAT,735.2051,minisat-classic
uuf100-07.cnf,UNSAT,599.4411,minisat-classic
uuf100-080.cnf,UNSAT,878.5577,minisat-classic
uuf100-081.cnf,UNSAT,447.7255,minisat-classic
uuf100-082.cnf,UNSAT,707.7390,minisat-classic
uuf100-083.cnf,UNSAT,750.5167,minisat-classic
uuf100-084.cnf,UNSAT,715.2928,minisat-classic
uuf100-085.cnf,UNSAT,1037.4175,minisat-classic
uuf100-086.cnf,UNSAT,948.2268,minisat-classic
uuf100-087.cnf,UNSAT,437.2455,minisat-classic
uuf100-088.cnf,UNSAT,847.1227,minisat-classic
uuf100-089.cnf,UNSAT,529.9110,minisat-classic
uuf100-08.cnf,UNSAT,556.3833,minisat-classic
uuf100-090.cnf,UNSAT,354.3484,minisat-classic
uuf100-091.cnf,UNSAT,1196.3612,minisat-classic
uuf100-092.cnf,UNSAT,1048.8817,minisat-classic
uuf100-093.cnf,UNSAT,963.1757,minisat-classic
uuf100-094.cnf,UNSAT,555.2902,minisat-classic
uuf100-095.cnf,UNSAT,918.7935,minisat-classic
uuf100-096.cnf,UNSAT,1151.4410,minisat-classic
uuf100-097.cnf,UNSAT,1207.7725,minisat-classic
uuf100-098.cnf,UNSAT,300.7160,minisat-classic
uuf100-099.cnf,UNSAT,365.8712,minisat-classic
uuf100-09.cnf,UNSAT,435.7688,minisat-classic
